 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,0,0)	13.71994
(0,0,0,1)	12.07004
(0,0,0,2)	12.71472
(0,0,0,3)	13.06226
(0,0,0,4)	12.89191
(0,0,0,5)	12.83652
(0,0,0,6)	12.72705
(0,0,0,7)	11.76859
(0,0,0,8)	11.75867
(0,0,0,9)	11.65182
(0,0,0,10)	10.88519
(0,0,0,11)	11.33304
(0,0,0,12)	11.78479
(0,0,0,13)	9.44812
(0,0,0,14)	9.697174
(0,0,0,15)	9.434326
(0,0,0,16)	9.583557
(0,0,0,17)	10.58511
(0,0,0,18)	10.87006
(0,0,0,19)	10.37643
(0,0,0,20)	10.15118
(0,0,0,21)	9.176239
(0,0,0,22)	9.100403
(0,0,0,23)	9.622955
(0,0,0,24)	8.896606
(0,0,0,25)	8.093811
(0,0,0,26)	9.243805
(0,0,0,27)	9.537018
(0,0,0,28)	9.518829
(0,0,0,29)	9.856354
(0,0,0,30)	9.037964
(0,0,0,31)	8.621979
(0,0,0,32)	8.48172
(0,0,0,33)	7.727753
(0,0,0,34)	8.478516
(0,0,0,35)	8.250519
(0,0,0,36)	7.678192
(0,0,0,37)	7.387451
(0,0,0,38)	7.309937
(0,0,0,39)	7.211243
(0,0,0,40)	7.064758
(0,0,0,41)	7.052399
(0,0,0,42)	6.974396
(0,0,0,43)	6.398285
(0,0,0,44)	4.920715
(0,0,0,45)	5.045593
(0,0,0,46)	4.771545
(0,0,0,47)	4.624878
(0,0,0,48)	4.95166
(0,0,0,49)	4.594452
(0,0,0,50)	3.655273
(0,0,0,51)	3.185089
(0,0,0,52)	3.729675
(0,0,0,53)	4.622284
(0,0,0,54)	4.148193
(0,0,0,55)	5.701508
(0,0,0,56)	5.846344
(0,0,0,57)	6.322266
(0,0,0,58)	6.845123
(0,0,0,59)	7.090607
(0,0,0,60)	7.571533
(0,0,0,61)	7.150177
(0,0,0,62)	5.4375
(0,0,0,63)	4.673004
(0,0,0,64)	4.604065
(0,0,0,65)	3.984589
(0,0,0,66)	3.025787
(0,0,0,67)	2.783386
(0,0,0,68)	2.901276
(0,0,0,69)	2.798828
(0,0,0,70)	2.902924
(0,0,0,71)	3.293701
(0,0,0,72)	3.744781
(0,0,0,73)	4.404175
(0,0,1,0)	14.16232
(0,0,1,1)	14.47525
(0,0,1,2)	14.07974
(0,0,1,3)	13.12424
(0,0,1,4)	13.04807
(0,0,1,5)	12.48431
(0,0,1,6)	11.66235
(0,0,1,7)	11.8544
(0,0,1,8)	12.26474
(0,0,1,9)	11.8096
(0,0,1,10)	11.76645
(0,0,1,11)	10.74094
(0,0,1,12)	11.20438
(0,0,1,13)	10.79404
(0,0,1,14)	10.06015
(0,0,1,15)	9.90097
(0,0,1,16)	10.18988
(0,0,1,17)	10.76205
(0,0,1,18)	10.24646
(0,0,1,19)	10.14685
(0,0,1,20)	10.06683
(0,0,1,21)	8.95578
(0,0,1,22)	8.776733
(0,0,1,23)	9.173035
(0,0,1,24)	9.508423
(0,0,1,25)	9.464661
(0,0,1,26)	9.949738
(0,0,1,27)	9.485016
(0,0,1,28)	9.253601
(0,0,1,29)	9.516449
(0,0,1,30)	8.956879
(0,0,1,31)	8.743378
(0,0,1,32)	8.483459
(0,0,1,33)	7.852173
(0,0,1,34)	8.174896
(0,0,1,35)	7.910126
(0,0,1,36)	7.69278
(0,0,1,37)	7.56073
(0,0,1,38)	7.311279
(0,0,1,39)	6.979401
(0,0,1,40)	6.71994
(0,0,1,41)	6.654755
(0,0,1,42)	6.590698
(0,0,1,43)	6.105286
(0,0,1,44)	4.74176
(0,0,1,45)	5.040283
(0,0,1,46)	4.778381
(0,0,1,47)	4.892853
(0,0,1,48)	4.795288
(0,0,1,49)	3.904388
(0,0,1,50)	2.928772
(0,0,1,51)	2.361847
(0,0,1,52)	2.858551
(0,0,1,53)	4.02597
(0,0,1,54)	4.449341
(0,0,1,55)	3.573517
(0,0,1,56)	5.797638
(0,0,1,57)	6.344818
(0,0,1,58)	6.746643
(0,0,1,59)	6.935608
(0,0,1,60)	7.360504
(0,0,1,61)	7.387238
(0,0,1,62)	6.944305
(0,0,1,63)	5.725525
(0,0,1,64)	5.802887
(0,0,1,65)	4.797577
(0,0,1,66)	5.018585
(0,0,1,67)	4.677368
(0,0,1,68)	4.54541
(0,0,1,69)	4.421906
(0,0,1,70)	4.344208
(0,0,1,71)	4.444183
(0,0,1,72)	4.704163
(0,0,1,73)	4.231964
(0,0,2,0)	13.95374
(0,0,2,1)	13.99216
(0,0,2,2)	13.50677
(0,0,2,3)	13.30588
(0,0,2,4)	12.98947
(0,0,2,5)	12.14401
(0,0,2,6)	12.04153
(0,0,2,7)	12.59604
(0,0,2,8)	11.69592
(0,0,2,9)	10.59973
(0,0,2,10)	10.29709
(0,0,2,11)	10.22949
(0,0,2,12)	10.53229
(0,0,2,13)	10.63223
(0,0,2,14)	10.40884
(0,0,2,15)	10.33878
(0,0,2,16)	10.40982
(0,0,2,17)	10.06058
(0,0,2,18)	9.894165
(0,0,2,19)	10.01816
(0,0,2,20)	9.968933
(0,0,2,21)	9.211548
(0,0,2,22)	9.329742
(0,0,2,23)	9.362793
(0,0,2,24)	9.062164
(0,0,2,25)	9.122375
(0,0,2,26)	9.180725
(0,0,2,27)	9.107819
(0,0,2,28)	8.204132
(0,0,2,29)	8.597321
(0,0,2,30)	8.72226
(0,0,2,31)	8.454712
(0,0,2,32)	8.282867
(0,0,2,33)	8.338287
(0,0,2,34)	8.021454
(0,0,2,35)	7.387451
(0,0,2,36)	7.277222
(0,0,2,37)	7.217224
(0,0,2,38)	6.977814
(0,0,2,39)	6.437347
(0,0,2,40)	6.208893
(0,0,2,41)	6.067963
(0,0,2,42)	6.004944
(0,0,2,43)	5.806366
(0,0,2,44)	4.800629
(0,0,2,45)	4.709412
(0,0,2,46)	4.879211
(0,0,2,47)	4.69696
(0,0,2,48)	3.875763
(0,0,2,49)	3.200134
(0,0,2,50)	2.577576
(0,0,2,51)	2.160614
(0,0,2,52)	2.543884
(0,0,2,53)	3.611023
(0,0,2,54)	4.357147
(0,0,2,55)	4.077972
(0,0,2,56)	4.193512
(0,0,2,57)	6.375885
(0,0,2,58)	6.656738
(0,0,2,59)	6.641296
(0,0,2,60)	6.714935
(0,0,2,61)	6.766571
(0,0,2,62)	7.055511
(0,0,2,63)	7.429535
(0,0,2,64)	5.754578
(0,0,2,65)	4.778351
(0,0,2,66)	4.721527
(0,0,2,67)	5.654968
(0,0,2,68)	5.193329
(0,0,2,69)	4.979614
(0,0,2,70)	4.906036
(0,0,2,71)	4.886169
(0,0,2,72)	5.032257
(0,0,2,73)	5.295624
(0,0,3,0)	13.98193
(0,0,3,1)	13.67212
(0,0,3,2)	13.60724
(0,0,3,3)	12.82974
(0,0,3,4)	12.77795
(0,0,3,5)	11.99985
(0,0,3,6)	12.18048
(0,0,3,7)	12.54828
(0,0,3,8)	11.66177
(0,0,3,9)	10.97665
(0,0,3,10)	11.16174
(0,0,3,11)	9.527618
(0,0,3,12)	10.41113
(0,0,3,13)	10.81027
(0,0,3,14)	9.976227
(0,0,3,15)	10.75558
(0,0,3,16)	10.0751
(0,0,3,17)	10.10132
(0,0,3,18)	10.03137
(0,0,3,19)	10.05301
(0,0,3,20)	9.943085
(0,0,3,21)	9.778961
(0,0,3,22)	9.256012
(0,0,3,23)	9.419647
(0,0,3,24)	8.745087
(0,0,3,25)	8.759613
(0,0,3,26)	9.092224
(0,0,3,27)	8.27832
(0,0,3,28)	8.224335
(0,0,3,29)	8.260406
(0,0,3,30)	8.352722
(0,0,3,31)	8.192261
(0,0,3,32)	8.14151
(0,0,3,33)	7.929138
(0,0,3,34)	7.230865
(0,0,3,35)	6.72699
(0,0,3,36)	6.660187
(0,0,3,37)	6.651428
(0,0,3,38)	6.279236
